trial,condition,primeword,target,correctResp,repeats.thisRepN,repeats.thisTrialN,repeats.thisN,repeats.thisIndex,thisRow.t,notes,instructions.started,key_instruct.started,instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,longfix.started,startfixation.started,startfixation.stopped,longfix.stopped,trials.started,bwtrialsfixation.started,prime.started,key_resp.started,bwtrialsfixation.stopped,prime.stopped,filler.started,stimulus.started,filler.stopped,stimulus.stopped,filler2.started,trials.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.005184167006518692,0.014327084005344659,3.2740157920052297,t,3.2426554999838118,None,,,,,,,,,,,,,,,,,,,,519285,001,2023-11-28_17h17.04.715,semanticsuppression,2023.2.2,None,2023-11-28 17h17.14.482511 -0800,
98,1D,book,cook,2,0,0,0,97,13.51008441700833,,,,,,,,3.274032958986936,3.283129208983155,13.51008441700833,13.468836166983237,13.502686208987143,13.51008441700833,14.471578917000443,14.471578917000443,14.503776083991397,14.766229875007411,1.3088991249969695,15.171230667008786,1.697227833996294,15.466222708986606,2.0088436249934603,16.566751250007655,2,2.09275974999764,None,519285,001,2023-11-28_17h17.04.715,semanticsuppression,2023.2.2,None,2023-11-28 17h17.14.482511 -0800,
156,Different,book,chef,2,0,1,1,155,16.575940833979985,,,,,,,,,,,,16.567521958990255,16.575940833979985,17.566302374994848,17.566302374994848,17.570756542001618,17.854208584001753,1.3029946250026114,18.2662491670053,1.6988918330171145,18.55349287498393,2.0028880830213893,19.00000420899596,2,1.432608875009464,None,519285,001,2023-11-28_17h17.04.715,semanticsuppression,2023.2.2,None,2023-11-28 17h17.14.482511 -0800,
138,1D,book,cook,2,0,2,2,137,19.00526216698927,,,,,,,,,,,,19.000392666988773,19.00526216698927,19.987724250007886,19.987724250007886,19.99960608399124,20.282885208987864,1.2992754579754546,20.68695916698198,1.686727874999633,20.9829072089924,1.9992674579843879,21.32060462498339,2,1.33199529198464,None,519285,001,2023-11-28_17h17.04.715,semanticsuppression,2023.2.2,None,2023-11-28 17h17.14.482511 -0800,
24,Different,goat,ship,3,0,3,3,23,21.332852374995127,,,,,,,,,,,,21.320958625001367,21.332852374995127,22.320533749996684,22.320533749996684,22.320533749996684,22.6162387499935,1.3005688750126865,23.016250416985713,1.6954520420113113,23.30371574999299,2.0003030420048162,23.716774583997903,3,1.3930037499812897,None,519285,001,2023-11-28_17h17.04.715,semanticsuppression,2023.2.2,None,2023-11-28 17h17.14.482511 -0800,
143,Same,boat,boat,3,0,4,4,142,23.724815916997613,,,,,,,,,,,,23.717148291994818,23.724815916997613,24.704488791991025,24.704488791991025,24.720562667003833,24.999619958980475,1.2992846249835566,25.403525834000902,1.6865355829941109,25.699579999985872,1.9992497499915771,26.30014162498992,3,1.585534333018586,None,519285,001,2023-11-28_17h17.04.715,semanticsuppression,2023.2.2,None,2023-11-28 17h17.14.482511 -0800,
216,Different,book,chef,2,0,5,5,215,26.30871429198305,,,,,,,,,,,,26.300534167006845,26.30871429198305,27.289504124986706,27.289504124986706,27.303848666982958,27.58735054198769,1.2991096659970935,27.98625095898751,1.68586091598263,28.282987749989843,1.999241040990455,28.80007066699909,2,1.5049932920082938,None,519285,001,2023-11-28_17h17.04.715,semanticsuppression,2023.2.2,None,2023-11-28 17h17.14.482511 -0800,
107,Same,goat,goat,2,0,6,6,106,28.80864558398025,,,,,,,,,,,,28.800474166986533,28.80864558398025,29.789415374980308,29.789415374980308,29.80398458399577,30.086811583983945,1.2992769999837037,30.486372499988647,1.686051333002979,30.782990334002534,1.9992991669860203,31.016713166987756,2,1.2242267909750808,None,519285,001,2023-11-28_17h17.04.715,semanticsuppression,2023.2.2,None,2023-11-28 17h17.14.482511 -0800,
73,semanticR,cook,chef,2,0,7,7,72,31.024353333981708,,,,,,,,,,,,31.017107083986048,31.024353333981708,32.00469395899563,32.00469395899563,32.02220341700013,32.29963995900471,1.2992852920142468,32.703143083985196,1.686215583991725,32.99958233398502,1.999439542007167,33.366951709002024,2,1.3523837499960791,None,519285,001,2023-11-28_17h17.04.715,semanticsuppression,2023.2.2,None,2023-11-28 17h17.14.482511 -0800,
145,semanticR,ship,boat,3,0,8,8,144,33.37532741698669,,,,,,,,,,,,33.367328458989505,33.37532741698669,34.3561507499835,34.3561507499835,34.37080737500219,34.65416183398338,1.2990862080187071,35.05305854199105,1.685908041021321,35.34972154200659,1.9992612909991294,35.76690041698748,3,1.4026832499948796,None,519285,001,2023-11-28_17h17.04.715,semanticsuppression,2023.2.2,None,2023-11-28 17h17.14.482511 -0800,
178,1D,book,cook,2,0,9,9,177,35.77570504200412,,,,,,,,,,,,35.767279874999076,35.77570504200412,36.75609291699948,36.75609291699948,36.77050566699472,37.053297709004255,1.299131166015286,37.454622916993685,1.687499708001269,37.75385000000824,1.9992575000214856,38.283786541986046,2,1.5212863750057295,None,519285,001,2023-11-28_17h17.04.715,semanticsuppression,2023.2.2,None,2023-11-28 17h17.14.482511 -0800,
50,1D,book,cook,2,0,10,10,49,38.2890697089897,,,,,,,,,,,,38.28428504199837,38.2890697089897,39.283069541997975,39.283069541997975,39.28759950000676,39.57149695898988,1.3029449579771608,39.97022529199603,1.699052916985238,40.26634387500235,2.003510207985528,40.55511016698438,2,1.2691999590024352,None,519285,001,2023-11-28_17h17.04.715,semanticsuppression,2023.2.2,None,2023-11-28 17h17.14.482511 -0800,
157,semanticR,chef,cook,2,0,11,11,156,40.56629904199508,,,,,,,,,,,,40.55550579199917,40.56629904199508,41.54972670899588,41.54972670899588,41.55420933399,41.836927208991256,1.2992492920020595,42.24972841699491,1.6943821669847239,42.537146416987525,2.0109686669893563,42.90014495898504,2,1.3396765410143416,None,519285,001,2023-11-28_17h17.04.715,semanticsuppression,2023.2.2,None,2023-11-28 17h17.14.482511 -0800,
181,semanticR,boat,ship,3,0,12,12,180,42.90806270900066,,,,,,,,,,,,42.900545374985086,42.90806270900066,43.888769666984444,43.888769666984444,43.903957458998775,44.18560429199715,1.299272625008598,44.58659320898005,1.6862065409950446,44.88304354198044,1.9993741660146043,45.217201083985856,3,1.3220635000034235,None,519285,001,2023-11-28_17h17.04.715,semanticsuppression,2023.2.2,None,2023-11-28 17h17.14.482511 -0800,
23,Same,boat,boat,3,0,13,13,22,45.224990583985345,,,,,,,,,,,,45.21764299998176,45.224990583985345,46.21642837498803,46.21642837498803,46.221163999987766,46.503849667002214,1.3028195420047268,46.9164086249948,1.6989455000148155,47.20258087498951,2.0012081669992767,47.666969541984145,3,1.4434767499915324,None,519285,001,2023-11-28_17h17.04.715,semanticsuppression,2023.2.2,None,2023-11-28 17h17.14.482511 -0800,
