condition	duration	trials.started
fixation	10	3.274032959
1D	3.06483575	13.50268621
Different	2.432870708	16.56752196
1D	2.320565958	19.00039267
Different	2.396189667	21.32095863
Same	2.583385875	23.71714829
Different	2.49994	26.30053417
Same	2.216632917	28.80047417
semanticR	2.350221375	31.01710708
semanticR	2.399951416	33.36732846
1D	2.517005167	35.76727987
1D	2.27122075	38.28428504
semanticR	2.345039583	40.55550579
semanticR	2.317097625	42.90054537
Same	2.449691417	45.217643
Same	2.238626167	47.66733442
Different	2.2947645	49.90596058
semanticR	2.316669375	52.20072508
1D	2.304524	54.51739446
Different	2.249356166	56.82191846
Same	2.187025542	59.07127462
1D	2.3425125	61.25830017
Different	2.203755083	63.60081267
1D	2.246162625	65.80456775
semanticR	2.370092417	68.05073037
Same	2.263264833	70.42082279
Different	2.385725042	72.68408763
Different	2.364217833	75.06981267
Same	2.350173334	77.4340305
Same	2.30006525	79.78420383
semanticR	2.233002375	82.08426908
1D	2.333488625	84.31727146
Same	2.416643666	86.65076008
semanticR	2.238836125	89.06740375
semanticR	2.377946709	91.30623988
Same	2.316588708	93.68418658
1D	2.316550875	96.00077529
semanticR	2.26690175	98.31732617
1D	2.416656958	100.5842279
Different	2.483319375	103.0008849
1D	2.188415	105.4842042
Different	2.311667292	107.6726192
semanticR	2.334869667	109.9842865
Different	2.285943125	112.3191562
1D	2.299359833	114.6050993
semanticR	2.313172833	116.9044592
1D	2.299962292	119.217632
semanticR	2.316632417	121.5175943
Different	2.266827	123.8342267
Same	2.299936083	126.1010537
Same	2.283359292	128.4009898
semanticR	2.283378208	130.6843491
1D	2.255696125	132.9677273
semanticR	2.310851958	135.2234234
1D	2.35013375	137.5342754
Same	2.517740042	139.8844091
Same	2.152740833	142.4021492
Different	2.362900334	144.55489
semanticR	2.333442875	146.9177903
Different	2.216542333	149.2512332
semanticR	2.250019833	151.4677755
Same	2.153991709	153.7177954
semanticR	2.332958875	155.8717871
Same	2.213227041	158.204746
Different	2.320078042	160.417973
semanticR	2.496634958	162.738051
semanticR	2.383493542	165.234686
Different	2.583049625	167.6181795
Different	2.283274042	170.2012292
Different	2.368155375	172.4845032
Different	2.415366708	174.8526586
semanticR	2.266633167	177.2680253
Same	2.166588291	179.5346585
Same	2.137168834	181.7012467
Same	2.196336083	183.8384156
Different	2.350024542	186.0347517
Same	2.233211333	188.3847762
Same	2.150012958	190.6179875
Same	2.15012225	192.7680005
Same	2.133285792	194.9181228
semanticR	2.138569667	197.0514085
semanticR	2.54581075	199.1899782
Different	2.299139208	201.735789
1D	2.353710542	204.0349282
Different	2.299419666	206.3886387
Different	2.330016209	208.6880584
semanticR	2.268268791	211.0180746
Same	2.270516875	213.2863434
semanticR	2.264998584	215.5568602
1D	2.329836833	217.8218588
Different	2.304941042	220.1516957
Same	2.144750541	222.4566367
1D	2.300066	224.6013873
1D	2.239059917	226.9014533
1D	2.165071875	229.1405132
semanticR	2.245956208	231.305585
semanticR	2.350011709	233.5515412
semanticR	2.300070083	235.901553
Same	2.266516042	238.201623
semanticR	2.283567333	240.4681391
1D	2.153837833	242.7517064
semanticR	2.312732334	244.9055442
Same	2.255574	247.2182766
Same	2.211136791	249.4738506
semanticR	2.250066167	251.6849874
Same	2.216651375	253.9350535
Different	2.270063458	256.1517049
Same	2.334301459	258.4217684
Different	2.278908791	260.7560698
1D	2.250126292	263.0349786
Same	2.233174375	265.2851049
semanticR	2.266789875	267.5182793
Different	2.253838208	269.7850692
1D	2.217919084	272.0389074
Different	2.244933958	274.2568265
1D	2.149912667	276.5017604
1D	2.133372375	278.6516731
1D	2.23336475	280.7850455
semanticR	2.350071916	283.0184102
Same	2.233132625	285.3684821
Different	2.233934625	287.6016147
1D	2.416424	289.8355494
1D	2.433344834	292.2519734
1D	2.266641833	294.6853182
semanticR	2.433218875	296.95196
semanticR	2.416735917	299.3851789
semanticR	2.233301875	301.8019148
1D	2.370069	304.0352167
Different	2.346596541	306.4052857
Different	2.220113084	308.7518822
Different	2.27994775	310.9719953
1D	2.356104416	313.2519431
Same	2.23130375	315.6080475
Different	2.195948084	317.8393513
Different	2.236946625	320.0352993
Same	2.212968916	322.272246
1D	2.183424209	324.4852149
Different	2.286687916	326.6686391
Different	2.24670825	328.955327
Same	2.320764417	331.2020352
semanticR	2.312672875	333.5227997
1D	2.273173667	335.8354725
semanticR	2.297656083	338.1086462
1D	2.416902833	340.4063023
Different	2.245622834	342.8232051
1D	2.26666875	345.068828
Same	2.266559208	347.3354967
1D	2.233266708	349.6020559
1D	2.18356925	351.8353226
1D	2.283492042	354.0188919
1D	2.283254042	356.3023839
Different	2.249800958	358.585638
Different	2.337601667	360.8354389
1D	2.183025291	363.1730406
Different	2.284156417	365.3560659
semanticR	2.267073917	367.6402223
semanticR	2.244901541	369.9072962
Same	2.250080459	372.1521977
1D	2.3334045	374.4022782
Same	2.233337416	376.7356827
semanticR	2.333240625	378.9690201
1D	2.283344917	381.3022608
Different	2.204082625	383.5856057
Same	2.229271875	385.7896883
Same	2.533480958	388.0189602
semanticR	2.403981167	390.5524411
Different	2.384335	392.9564223
1D	2.345004333	395.3407573
Same	2.416660875	397.6857616
1D	2.337185375	400.1024225
1D	2.200554667	402.4396079
Different	2.26236225	404.6401625
1D	2.249938542	406.9025248
Different	2.266753	409.1524633
semanticR	2.449857291	411.4192163
1D	2.116784209	413.8690736
semanticR	2.199943583	415.9858578
Different	2.250105792	418.1858014
1D	2.122537041	420.4359072
1D	2.165245125	422.5584442
semanticR	2.195414	424.7236894
semanticR	2.221612125	426.9191034
Different	2.299422042	429.1407155
Same	2.383080708	431.4401375
1D	2.462756209	433.8232183
semanticR	2.37111675	436.2859745
1D	2.278797666	438.6570912
Same	2.133348459	440.9358889
Same	2.105015166	443.0692373
semanticR	2.211834375	445.1742525
semanticR	2.233377667	447.3860869
Different	2.316400667	449.6194645
semanticR	2.350152375	451.9358652
Same	2.304217708	454.2860176
Same	2.179176292	456.5902353
Same	2.116481833	458.7694116
semanticR	2.366899167	460.8858934
Different	2.316788333	463.2527926
semanticR	2.133131542	465.5695809
Different	2.216716291	467.7027125
Same	2.3668085	469.9194288
Different	2.399896917	472.2862372
1D	2.20429775	474.6861342
Same	2.262332583	476.8904319
1D	2.354022417	479.1527645
Same	2.145992458	481.5067869
Same	2.266703209	483.6527794
Different	2.366700875	485.9194826
Same	2.1500395	488.2861835
Different	2.266665958	490.436223
Different	2.256416708	492.7028889
1D	2.360163667	494.9593056
Same	2.283441375	497.3194693
semanticR	2.70000275	499.6029107
Different	2.283391667	502.3029134
Same	2.17057275	504.5863051
semanticR	2.312748708	506.7568778
Different	2.183358542	509.0696265
1D	2.486807666	511.2529851
Same	2.129877084	513.7397927
Same	2.366629666	515.8696698
1D	2.433403959	518.2362995
semanticR	2.570583416	520.6697035
Same	2.201288875	523.2402869
1D	2.278104375	525.4415757
semanticR	2.253872584	527.7196801
Same	2.383653083	529.9735527
1D	2.434144167	532.3572058
semanticR	2.283294125	534.79135
Different	2.295161166	537.0746441
semanticR	2.266806459	539.3698052
Different	2.349854583	541.6366117
Different	2.29981417	543.9864663
fixation	10	546.2862805
